pdf_id,dept,from_url,pdf_url
19089,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2013_water_and_sewermainprojects/may.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2013construction/05May/20130508_Jarvis_49w.pdf
312,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/human_resource_policies.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/COCChildSupportPolicy.pdf
2791,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2001_june_bid_tabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2001BidTabs/Jun/C968010039.6.22.01.pdf
22067,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2016_water_and_sewer_projects/September2016.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2016construction/sep_2016/20160912_Clark_25w.pdf
15054,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district_annual_reports2006.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/06reports/T_058_PortageParkAR06.pdf
5295,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2006_october_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2006JOC/2006_OctoberJOC/6072_172.pdf
6392,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2008_november_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2008JOC/2008_NovemberJOC/15034_34.pdf
1869,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2000_august_bid_tabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2000BidTabs/Aug/C925990002.8.18.00.pdf
21361,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/taxi_industry_notices.html,https://www.cityofchicago.org/dam/city/depts/bacp/publicvehicleinfo/taxiindustrynotices/publicvehicleindustrynotice12-030.pdf
7586,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2011_water_and_sewermainprojects.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2011cnstRpt/Crystal27w041811.pdf
23394,Department of Public Health,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/infectious/west_nile_virus_surveillancereports2011.html,https://www.cityofchicago.org/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week34Arboreport8292016.pdf
25914,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/Job_Specification_Alpah_Order.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/DISTRICT-CLERK---ASPHALT_0427.pdf
21127,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/taxi_industry_notices.html,https://www.cityofchicago.org/content/dam/city/depts/bacp/publicvehicleinfo/publicvehicleindustrynotices/publicvehicleindustrynotice15008.pdf
7127,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2010_prebid_conferenceattendees.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2010PreBids/PreBid87529.pdf
20209,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/operation_constructionservices5000series.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/OperationConstruction/5000_Electrical_Construction_and_Maintenance_Series/5035_vELECTRICAL_MECHANIC.pdf
6078,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2007_september_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2007JOC/2007_SpetemberJOC/15034-2.pdf
8113,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2012_water_and_sewermainprojects.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2012cnstRpts/June/20120618_Kedvale_22w.pdf
24808,Board of Ethics,https://www.cityofchicago.org/city/en/depts/ethics/provdrs/reg/svcs/NonReq-2017.html,https://www.cityofchicago.org/content/dam/city/depts/ethics/general/Disc-NR/2017/HardingT-011717-bacp-NR.pdf
7275,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2011_job_order_contractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2012JOC/14256_180.pdf
21349,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/taxi_industry_notices.html,https://www.cityofchicago.org/dam/city/depts/bacp/publicvehicleinfo/taxiindustrynotices/DriverExcellenceAwardNominationForm2012.pdf
5591,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2007_emergency_authorizations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/Emergency/2007Emergencies/September/09262007Demolition11543SEggleston.pdf
12819,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/chicago-landmark-designation--uptown-square-district0.html,https://www.cityofchicago.org/content/dam/city/depts/zlup/Historic_Preservation/Publications/Uptown_Square_District.pdf
25024,Chicago Police Board,https://www.cityofchicago.org/city/en/depts/cpb/auto_generated/police_discipline_archives.html,https://www.cityofchicago.org/content/dam/city/depts/cpb/PoliceDiscipline/14PB2847.pdf
3198,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2002_february_bidtabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2002BidTabs/Feb/B24506502.2.25.02.pdf
2728,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2001_july_bid_tabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2001BidTabs/Jul/B17656102.7.27.01.pdf
2997,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2001_october_bidtabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2001BidTabs/Oct/C365010002.10.26.01.pdf
